,msg_type,msg_content,sender_name,msg_sent_time,msg_dist_type,time_thread_start,reply_count,reply_users_count,reply_users,tm_thread_end,channel
0,message,Good morning everyone :blush: welcome to week 8 of 12.  Wishing you all a productive week ahead ,Garrett Bell,1665385707.569729,text,0,0,0,0,0,all-week8
1,message,Good morning!,Carlos Gross,1665385734.616309,text,0,0,0,0,0,all-week8
2,message,Good Morning.,Samuel King,1665385760.620169,text,0,0,0,0,0,all-week8
3,message,Good Morning!!!,Daniel Brown,1665387214.795849,text,0,0,0,0,0,all-week8
4,message,Good Morning.,Willie Yang,1665388127.826899,text,0,0,0,0,0,all-week8
5,message,"Good morning all, Monday music on standup link, join now to vibe with me",Vanessa Norman,1665388592.635289,text,0,0,0,0,0,all-week8
6,message,"How do We get the k-line data guys? there are too many varieties,",Joshua Rhodes,1665396091.818989,text,1665396091.818989,1,1,U03UG4Q7V42,1665426020.667739,all-week8
7,message,"You can find the updated list of quake books from week 7 hot seaters here.

<https://www.notion.so/Quake-books-1a622f5c9a1f4a418126fcc4ce05aa01>",Travis Butler,1665399605.224129,text,0,0,0,0,0,all-week8
8,message,Has the session ended? I lost connection and I cannot rejoin.,Brian Odom,1665412261.292449,text,1665412261.292449,3,3,"U03V61VGQG0,U03TEPYRM2P,U03UJKJGRAQ",1665412344.224389,all-week8
9,message,yes it has ended.,Paula Bryant,1665412277.359839,text,1665412261.292449,0,0,0,0,all-week8
10,message,yes,Garrett Bell,1665412281.779959,text,1665412261.292449,0,0,0,0,all-week8
11,message,Ok .. so I missed only a couple of minutes.,Brian Odom,1665412344.224389,text,1665412261.292449,0,0,0,0,all-week8
12,message,"hi, i just want to confirm that the submission dates on this week's challenge document are correct?
• interim submission - *tuesday* 11th oct at 8pm utc (vs wednesday)
• final submission - *thursday* 13th oct at 8pm utc (vs saturday)",Elizabeth Hall,1665412350.628759,text,1665412350.628759,3,3,"U03TEPYRM2P,U03UP7V9Q57,U03UD5B7C3X",1665414520.397339,all-week8
13,message,Thank you for spoting that Wangui. Let me confirm that from the tutors,Garrett Bell,1665412436.978359,text,1665412350.628759,0,0,0,0,all-week8
14,message,"<@U03UUN8M4RX> In answering my question you said ""if you transported yourself to the past..""
if I did transport myself to the past, I would told everyone how I invented time-travel and all the markets would have crashed. :smile:",Brian Odom,1665412703.494659,user,1665412703.494659,2,2,"U03UD68RQH3,U03UJKJGRAQ",1665421587.914539,all-week8
15,message,Updated back to Wednesday and Saturday,Michele Sparks,1665414112.162979,text,1665412350.628759,0,0,0,0,all-week8
16,message,nice. thank you!,Elizabeth Hall,1665414520.397339,text,1665412350.628759,0,0,0,0,all-week8
17,message,With great power comes great responsibility so use it wisely :smile:,Brady Rhodes,1665420888.641139,text,1665412703.494659,0,0,0,0,all-week8
18,message,that's true <@U03UD68RQH3> I will keep  that in mind when I time-travel next time :laughing:,Brian Odom,1665421587.914539,text,1665412703.494659,0,0,0,0,all-week8
19,message,"""Integration of backtesting framework""

This is the one of the Wednesday deliverables under the Github link submission.

Is this referring to the models?",Michelle Lewis,1665423328.130499,text,0,0,0,0,0,all-week8
20,message,"Are we supposed to create our own backtesting algorithm or we are going to use one out of the ones provided (<https://backtrader.com/docu/|backtrader>, <https://vectorbt.dev/|vectorbt>, or <https://www.freqtrade.io/en/stable/backtesting/|freqtrade>)?",Michelle Lewis,1665424090.843419,text,0,0,0,0,0,all-week8
21,message,"• Create a dynamic scene (simple json or ini file) that automates the run of backtests by taking in parameters
    ◦ Date range (start and end date for backtest)
    ◦ *Indicator*
    ◦ Indicator params range
Does ""indicator"" in the above sentence means a variable in the in the dataset?",Michelle Lewis,1665424738.715489,rich_text_section,0,0,0,0,0,all-week8
22,message,Have you gotten an answer for this <@U03U1FNPEUX>?,Phillip Atkins,1665426020.667739,text,1665396091.818989,0,0,0,0,all-week8
23,message,"when cloning a repo, what's the difference between using git@gitrepolink and gitrepolink when cloning repo?",Michelle Lewis,1665434032.507359,text,1665434032.507359,6,3,"U03U1FNPEUX,U03UJN29Y4C,U03UD68RQH3",1665467582.233329,all-week8
24,message,can you clarify?,Joshua Rhodes,1665434675.449259,text,1665434032.507359,0,0,0,0,all-week8
25,message,the first is .git the second is .html,Michelle Lewis,1665435307.697649,text,1665434032.507359,0,0,0,0,all-week8
26,message,are you referring https vs ssh?,Brady Rhodes,1665438872.227919,text,1665434032.507359,0,0,0,0,all-week8
27,message,u mean <https://github.com/> vs <mailto:git@github.com|git@github.com> ?,Brady Rhodes,1665438976.810699,text,1665434032.507359,0,0,0,0,all-week8
28,message,If so the difference lies in what your asked as credintials. the first one requires you to provide your ssh public key. And the latter uses your (github) username and PW,Joshua Rhodes,1665442798.975139,text,1665434032.507359,0,0,0,0,all-week8
29,message,```pip install matplotlib==3.2.2```,Amy Leon,1665447590.721639,text,1665447406.723449,0,0,0,0,all-week8
30,message,This have several aftermaths it does not get the error fixed,Daniel Brown,1665448087.606109,text,1665447406.723449,0,0,0,0,all-week8
31,message,"```sudo apt-get install libfreetype6-dev
sudo apt-get install pkg-config
sudo apt-get install libpng-dev
sudo apt-get install pkg-config```",Amy Leon,1665448172.643319,text,1665447406.723449,0,0,0,0,all-week8
32,message,Try installing these packages,Amy Leon,1665448185.461419,text,1665447406.723449,0,0,0,0,all-week8
33,message,<@U03U1FNPEUX> Thank you,Michelle Lewis,1665467582.233329,user,1665434032.507359,0,0,0,0,all-week8
34,message,<!channel> Daily standup has started,Garrett Bell,1665475507.168689,broadcast,0,0,0,0,0,all-week8
35,message,"website from the current session (database design):
<https://dbdiagram.io/home>",Brian Odom,1665490319.589579,text,1665490319.589579,1,1,U03UG0SFHGT,1665490648.418599,all-week8
36,message,Thank you <@U03UJKJGRAQ>,Willie Yang,1665490648.418599,text,1665490319.589579,0,0,0,0,all-week8
37,message,can i get a recorded tutorial of today’s  back testing?,Nancy Craig,1665501880.342719,text,1665501880.342719,8,5,"U03V6HMRPGQ,U03UG1Z21JP,U03UG5VFN03,U03TEPYRM2P,U03UAKATQ22",1665558349.600599,all-week8
38,message,<@U03TEPYRM2P> can we ?,Cristian Wilson,1665502238.832359,user,1665501880.342719,0,0,0,0,all-week8
39,message,I joined late due to internet issues. I would love to have the record as soon as possible <@U03TEPYRM2P>,Jennifer Foley,1665502972.148749,text,1665501880.342719,0,0,0,0,all-week8
40,message,I was ateneded but I need some part of it,Nancy Craig,1665503093.676149,text,1665501880.342719,0,0,0,0,all-week8
41,message,Sure! The upload is in progress,Garrett Bell,1665504398.255839,text,1665501880.342719,0,0,0,0,all-week8
42,message,Thank you so much,Nancy Craig,1665504432.691569,text,1665501880.342719,0,0,0,0,all-week8
43,message,"During reading I witness a term (Security) in most of the provided docs, can anyone explain it?",Cristian Wilson,1665505715.758419,text,1665505715.758419,7,5,"U03V5Q9N516,U03UG4Q7V42,U03UD68RQH3,U03V6HMRPGQ,U03UVHCV6KB",1665507710.318549,all-week8
44,message,I think it is associated with the success of the trading!,Debra Lawrence,1665505812.445459,text,1665505715.758419,0,0,0,0,all-week8
45,message,it is something that has monetary value and which can be traded on the market.,Phillip Atkins,1665505970.845419,text,1665505715.758419,0,0,0,0,all-week8
46,message,"don't confuse it with it's literal meaning, <@U03UG4Q7V42> defined it well... it could be gold, Real states, stocks etc..",Brady Rhodes,1665506786.331179,text,1665505715.758419,0,0,0,0,all-week8
